,Type of Market,Federal District,Federal District (id),Type of Flats,Unit of Price,Monetary Value in millions ₽,Period,Year,Average Price,Type of Building,Unit of Area,Area Introduced
69,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,266386.64,III квартал,2021,143829.51,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1852.1
70,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,52465.45,I квартал,2021,63013.99,Жилые здания многоквартирные,тысяча квадратных метров общей площади,832.6
71,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,71383.78,II квартал,2021,70761.08,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1008.8
72,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,115621.93,III квартал,2021,79899.06,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1447.1
73,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,10395.65,I квартал,2021,40687.47,Жилые здания многоквартирные,тысяча квадратных метров общей площади,255.5
74,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,12582.18,II квартал,2021,41266.58,Жилые здания многоквартирные,тысяча квадратных метров общей площади,304.9
75,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,20800.37,III квартал,2021,41902.44,Жилые здания многоквартирные,тысяча квадратных метров общей площади,496.4
76,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,116818.99,I квартал,2021,63450.65,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1841.1
77,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,68779.81,II квартал,2021,66153.52,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1039.7
78,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,108890.24,III квартал,2021,69233.37,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1572.8
79,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,23301.05,I квартал,2021,69847.28,Жилые здания многоквартирные,тысяча квадратных метров общей площади,333.6
80,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,49137.01,II квартал,2021,73011.9,Жилые здания многоквартирные,тысяча квадратных метров общей площади,673.0
81,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,73060.86,III квартал,2021,77182.4,Жилые здания многоквартирные,тысяча квадратных метров общей площади,946.6
82,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,40049.53,I квартал,2021,63299.4,Жилые здания многоквартирные,тысяча квадратных метров общей площади,632.7
83,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,38972.53,II квартал,2021,66779.52,Жилые здания многоквартирные,тысяча квадратных метров общей площади,583.6
84,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,61743.88,III квартал,2021,70411.54,Жилые здания многоквартирные,тысяча квадратных метров общей площади,876.9
85,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,30381.27,I квартал,2021,97972.5,Жилые здания многоквартирные,тысяча квадратных метров общей площади,310.1
86,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,15053.55,II квартал,2021,101302.51,Жилые здания многоквартирные,тысяча квадратных метров общей площади,148.6
87,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,31086.5,III квартал,2021,103587.15,Жилые здания многоквартирные,тысяча квадратных метров общей площади,300.1
