Year,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Period,,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Архангельская область,Отдельно стоящие здания жилого назначения квартирного типа,,10.7,15.6,24.1,15.3,,19.5,,6.4,17.4,11.1,80.5,,0.6,8.5,22.7,7.9,13.3,7.6,,12.9,14.3,68.6,64.5,26.6,10.2,14.6,15.3,4.7,22.9,8.9,25.1,19.1,31.9,16.8,45.7
Архангельская область,Отдельно стоящие здания жилого назначения квартирного типа в сельской местности,,,,,,,,,,,,1.1,,0.6,,,0.2,0.4,,,,,1.6,1.3,,,,,,,,,,,,0.3
Архангельская область (кроме Ненецкого автономного округа),"Жилые дома в сельской местности,построенные населением",3.8,6.7,10.1,5.9,6.9,5.2,7.2,5.0,4.2,4.4,4.7,10.4,3.6,10.7,8.4,3.7,3.8,6.4,6.8,9.9,8.6,8.5,8.2,12.9,6.3,7.9,9.0,11.3,9.0,8.4,10.7,10.0,11.5,12.6,9.1,8.2
Архангельская область (кроме Ненецкого автономного округа),"Жилые дома и общежития,построенные за счет бюджетов субъектов Российской и местных бюджетов",,,,,,,,,,,,4.2,,,,,,,7.4,,,1.8,18.0,0.0,,6.4,,,,,,5.1,7.1,4.3,5.1,9.3
Архангельская область (кроме Ненецкого автономного округа),Жилые дома коттеджного типа,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),"Жилые дома общежития,построенные за счет средств федерального бюджета",,,,,3.9,,,,6.4,,,,,,,,,,,,,,8.3,1.2,,,,,,,,6.4,,,,2.5
Архангельская область (кроме Ненецкого автономного округа),"Жилые дома,построенные населением",6.5,11.0,14.1,8.5,11.6,8.5,11.1,7.6,7.6,7.4,8.4,15.4,5.5,16.0,14.1,7.0,6.5,10.7,10.3,13.6,13.4,13.5,14.2,18.9,11.9,11.3,15.9,18.4,13.1,13.5,18.9,16.4,16.1,18.3,14.9,11.2
Архангельская область (кроме Ненецкого автономного округа),Жилые здания,,,,,,,,,,,,,,,,,,,,,,,,,26.6,10.2,15.0,12.3,4.7,22.9,8.9,28.6,19.4,31.9,16.8,45.4
Архангельская область (кроме Ненецкого автономного округа),Жилые здания индивидуальные,,,,,,,,,,,,0.5,,0.6,,,0.9,0.2,,,,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),Жилые здания многоквартирные,,10.7,15.6,24.1,12.3,,18.7,,10.7,17.4,11.1,77.3,,,7.0,22.7,1.7,12.9,7.6,,12.9,14.3,65.1,63.0,26.6,10.2,15.0,12.3,4.7,22.9,8.9,22.2,19.4,31.9,16.8,45.4
Архангельская область (кроме Ненецкого автономного округа),Жилые здания многоквартирные малоэтажные блокированнные,,0.9,,,,,,,,,,,,,,,0.6,1.9,,,,,,,,,,,,,,,,,,
Архангельская область (кроме Ненецкого автономного округа),"Жилые здания, в сельской местности (всего)",3.8,6.7,10.1,5.9,6.9,5.2,7.2,5.0,4.2,4.4,4.7,11.8,3.6,11.3,8.4,3.7,4.7,6.6,6.8,9.9,8.6,8.5,9.8,14.2,6.3,7.9,9.0,11.3,9.0,8.4,10.7,10.0,11.5,12.6,9.1,8.2
