Year,,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021
Period,,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал
Волго-Вятский район,Вторичный рынок жилья,4560.17,4624.7,4863.12,5166.55,5554.37,5864.38,6298.73,7119.7,7405.72,7855.38,8149.73,8591.35,9911.42,10243.52,10559.59,11127.22,12063.75,12830.94,13803.97,14797.17,15579.36,15875.86,16428.71,17145.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Волгоградская область,Первичный рынок жилья,5162.13,5247.4,5165.21,5176.43,4852.34,5475.04,5774.1,6308.35,7850.48,8060.09,8161.39,8331.71,8937.93,9357.49,9621.05,10415.53,11826.27,12148.67,12609.93,13270.59,14607.49,15790.78,16859.79,18038.06,19829.04,21305.41,22367.09,24099.63,26300.98,28669.78,30641.07,35570.87,40052.6,45790.31,49634.06,49980.99,45155.72,41313.59,38170.67,37378.08,34106.68,35349.39,35188.91,37385.75,36457.91,37579.29,37419.34,37620.15,37780.3,37871.46,38730.5,38716.38,40168.21,40261.9,39726.04,40045.76,39413.98,39720.14,39610.59,40142.05,41184.04,40831.65,40344.23,38854.87,40053.41,39634.03,39729.9,39919.2,39547.71,39835.2,40340.05,40837.78,41091.5,41530.0,43191.75,44975.04,45527.04,45332.31,45430.24,46257.17,45971.79,47036.85,49305.5,50299.77,52370.27,53413.8,56409.43
Волгоградская область,Вторичный рынок жилья,5091.98,5069.07,5149.74,5124.38,5103.76,5398.6,5910.4,6526.25,7543.06,8218.97,8609.28,8939.52,9992.94,10046.51,10358.55,10539.18,11479.8,11743.42,11989.3,13235.0,14242.83,15327.63,16697.3,17563.67,19065.23,20398.33,21307.39,23285.09,25797.22,28342.96,30454.03,34140.36,44896.23,50763.52,53029.82,52100.16,47141.19,41182.46,39556.73,38948.8,37774.21,38514.12,38928.6,38896.24,34040.71,33945.5,34234.26,34777.44,33846.9,33922.31,34641.75,34203.18,39633.92,40053.88,40294.09,40567.48,40667.97,41098.75,41144.11,41557.62,40366.45,40390.77,40460.35,40550.75,40098.23,40012.62,39733.14,39064.18,38645.83,38482.68,38302.83,37918.51,36858.01,36443.13,36745.14,37357.22,40661.42,41176.31,41378.23,41586.29,42387.79,42555.66,43165.16,43866.35,45076.46,46530.32,48332.84
Вологодская область,Первичный рынок жилья,4071.11,4263.77,4438.07,4922.16,6383.59,6722.85,6863.77,7939.4,8480.56,8512.15,8616.55,9300.48,9678.48,10062.5,10918.72,14619.84,16239.47,16400.8,16853.94,16898.91,17085.8,17279.65,17580.72,18532.53,19775.36,21813.48,25654.9,32344.5,33895.42,37223.94,38331.92,39154.85,39493.74,40741.74,41067.05,39641.46,38228.88,35516.5,34716.01,34022.43,32351.97,32559.34,32616.12,34213.21,36859.97,37380.96,38037.39,39450.45,40105.3,40920.61,42393.04,43189.63,43244.34,42991.99,43263.95,42808.49,43527.73,43739.05,42684.65,43235.13,43122.02,42267.0,40983.26,40202.72,37820.28,38595.47,38803.83,38171.03,38404.48,37948.39,37698.21,37973.95,39583.45,39764.95,39421.42,40248.15,41294.98,41259.35,41895.38,42296.32,43308.91,44993.94,46099.89,47899.22,54177.85,55986.81,57456.57
Вологодская область,Вторичный рынок жилья,3757.66,3916.17,4046.81,4694.75,5542.61,6402.95,6516.15,7363.34,7592.78,7832.41,7968.02,8571.54,8968.85,9195.29,10067.07,12479.28,15086.91,15655.34,16060.17,16044.69,17067.15,17348.25,17605.41,19106.74,20649.24,21979.51,26043.94,33152.51,35505.89,37915.09,40659.74,41257.34,41068.55,41996.22,42408.37,41960.24,41363.95,39223.96,37346.27,36459.97,35478.16,35516.36,35587.4,35830.07,36204.29,37374.95,38568.72,39457.68,40757.95,41422.3,44682.22,46037.81,49553.11,48654.11,48571.72,48546.98,44785.96,45641.46,45003.47,44899.09,42045.83,41527.02,41233.93,40585.4,38700.99,38656.67,38022.98,37787.53,37451.74,36872.22,36744.86,37153.16,36925.81,36311.27,36992.61,37435.44,38160.05,38400.93,38507.34,38965.85,41494.67,42162.28,42771.6,43997.41,46452.21,47453.71,48759.15
Воронежская область,Первичный рынок жилья,4579.63,4535.08,4559.54,4585.56,5712.35,5502.52,6019.24,6403.32,6749.59,7054.76,7460.19,7678.34,9204.71,9553.53,9938.62,10760.67,11786.09,12139.86,12995.55,13300.04,13575.74,13543.6,14065.46,15130.68,15409.9,16515.77,18721.46,21438.95,24211.85,25544.1,27048.78,29103.43,32335.5,34057.72,35305.33,35431.41,34373.98,34399.32,33616.3,33835.63,34894.81,34858.52,34586.58,35219.34,33751.78,34275.3,34693.93,35133.9,36501.6,38237.33,39369.66,40240.72,39591.2,39771.16,41574.97,41772.88,42431.64,43348.41,43838.37,44740.69,44457.68,43681.27,43632.25,44262.6,44450.6,44371.03,44146.92,43559.51,43173.74,42529.69,42187.45,42517.75,43292.72,43457.75,44221.46,45351.53,46472.25,47886.47,48379.91,49010.15,48997.37,49561.93,53098.69,56945.52,59718.86,62147.2,67667.47
Воронежская область,Вторичный рынок жилья,4952.76,4861.79,4924.45,5208.88,5200.33,5260.22,5728.03,6659.63,6863.98,6902.48,7542.28,7902.04,8365.81,8356.5,8592.75,9294.76,10416.38,10838.14,11895.3,12241.8,13058.92,13057.69,13835.58,14285.29,16356.7,17568.94,19099.59,24206.57,23997.02,24193.08,24438.9,26090.89,30652.56,32314.21,33490.42,32783.69,35262.67,33236.48,34223.53,34007.4,33321.75,33067.8,34244.95,34595.38,34896.71,35008.32,35455.36,37334.94,39090.39,41002.17,42014.97,44849.25,47133.58,47716.63,46923.0,47411.44,47048.64,46871.6,47293.06,48137.0,50119.6,49373.07,48315.35,46767.05,47123.16,46300.66,45160.49,45435.2,44325.74,44066.17,43222.95,44663.91,43350.29,42623.91,43801.82,43815.78,44858.43,45345.4,45609.13,45885.62,47430.28,47992.56,48246.48,50626.94,53988.88,52849.96,58479.03
Восточно-Сибирский район,Первичный рынок жилья,4525.78,4609.48,4904.83,5974.73,6395.31,7474.29,8384.5,9094.38,10019.28,10120.96,10258.68,10506.58,12541.21,12624.31,13001.24,13573.05,15056.2,16134.29,17490.96,18914.32,19096.91,19450.06,19761.22,20567.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Восточно-Сибирский район,Вторичный рынок жилья,4595.59,4728.67,4977.23,5816.06,6827.21,7725.14,9037.14,9735.42,10205.69,10538.77,10913.33,11133.11,10326.81,10647.0,10951.7,11296.84,12337.12,12956.39,14117.29,15346.25,16864.46,17198.2,17462.52,17971.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Город Москва столица Российской Федерации город федерального значения,Первичный рынок жилья,16023.8,15714.96,16040.24,16280.73,19962.88,20472.9,21226.56,21905.66,21433.15,23001.69,23833.47,24331.25,30049.04,31259.34,33507.05,35363.56,43141.82,44695.01,46060.53,47057.56,54945.74,56171.98,57007.1,58397.88,64581.07,74163.22,84963.95,88590.38,105776.3,106976.91,109556.64,113501.05,117246.09,123213.72,129688.36,127245.94,135227.46,132510.45,128982.42,131218.11,141233.08,142803.38,143887.71,144341.59,125954.47,126535.69,128044.73,129523.52,127344.75,130983.31,130532.46,129965.62,140689.08,143490.27,149956.09,151517.17,166946.33,170069.81,170073.12,174538.14,173715.83,172923.74,175056.84,182292.43,159613.38,153496.24,157276.97,155032.99,156029.07,157516.41,153804.05,153523.31,163801.26,170322.33,172725.5,172460.32,185882.52,195087.57,198230.93,203189.99,214278.63,215210.48,226767.54,231309.31,251833.07,277383.64,289126.99
